         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:848(_StoreAction)
       22    0.000    0.000    0.000    0.000 argparse.py:850(__init__)
       10    0.000    0.000    0.000    0.000 argparse.py:879(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:883(_StoreConstAction)
        8    0.000    0.000    0.000    0.000 argparse.py:885(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:902(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:906(_StoreTrueAction)
        8    0.000    0.000    0.000    0.000 argparse.py:908(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:923(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:940(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:978(_AppendConstAction)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.084    0.084 callVarBam.py:1(<module>)
        9    0.000    0.000    0.000    0.000 callVarBam.py:109(<genexpr>)
        1    0.000    0.000    0.000    0.000 callVarBam.py:21(InstancesClass)
        1    0.000    0.000    0.000    0.000 callVarBam.py:22(__init__)
        1    0.000    0.000  427.596  427.596 callVarBam.py:237(main)
       85    0.001    0.000    0.004    0.000 callVarBam.py:27(poll)
       85    0.001    0.000    0.005    0.000 callVarBam.py:36(check_return_code)
        1    0.000    0.000  427.591  427.591 callVarBam.py:62(Run)
        1    0.000    0.000  427.688  427.688 clair.py:2(<module>)
        1    0.000    0.000    0.000    0.000 clair.py:37(directory_for)
        1    0.000    0.000  427.684  427.684 clair.py:67(main)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.001    0.001 command_options.py:1(<module>)
        3    0.000    0.000    0.000    0.000 command_options.py:19(command_string_from)
       32    0.000    0.000    0.000    0.000 command_options.py:20(<genexpr>)
        9    0.000    0.000    0.000    0.000 command_options.py:23(command_option_from)
       35    0.000    0.000    0.000    0.000 command_options.py:8(command_option_string_from)
        1    0.000    0.000    0.027    0.027 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:14(ProcessError)
        1    0.000    0.000    0.000    0.000 context.py:17(BufferTooShort)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:202(reducer)
        1    0.000    0.000    0.000    0.000 context.py:219(Process)
        1    0.000    0.000    0.000    0.000 context.py:225(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:228(__init__)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
        1    0.000    0.000    0.000    0.000 context.py:264(<listcomp>)
        1    0.000    0.000    0.000    0.000 context.py:272(ForkProcess)
        1    0.000    0.000    0.000    0.000 context.py:279(SpawnProcess)
        1    0.000    0.000    0.000    0.000 context.py:286(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 context.py:293(ForkContext)
        1    0.000    0.000    0.000    0.000 context.py:297(SpawnContext)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
